ID,Date,Name,Companies,Inception,Revenue,Expenses,Profit,Growth
1,Yes,Lamtone,IT Service,2009,"$11,757,018","6,482,465 Dollars",5274553,30%
2,Yes,Stripfind,Financial Services,2010,"$12,329,371",,11412916,20%
3,No,,Health,2012,"$10,597,009","7,591,189 Dollars",3005820,7%
4,Yes,Mattouch,IT Service,2013,"$14,026,934","7,429,377 Dollars",6597557,7%
5,No,Techdrill,IT Service,,"$10,573,990","7,435,363 Dollars",,7%
6,Yes,Techline,IT Service,2011,"$13,898,119","5,470,303 Dollars",8427816,7%
7,Yes,Cityace,IT Service,,,"6,249,498 Dollars",3005116,6%
8,No,Kayelectronics,Health,2009,"$9,451,943","3,878,113 Dollars",5573830,4%
9,Yes,Ganzlax,IT Service,2011,"$14,001,180","3,878,153 Dollars",11901180,18%
10,Yes,Transtraxlax,Government Services,2011,"$11,088,336","5,635,276 Dollars",5453060,7%
